gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
2017-03-03T14:10:32,33.6392925,-112.2275846,0,0,68.5,-15.128,3,0,0,0,1,-106.5,,,,,72,0,1,,,,,,,,,,,,2,0,2
2017-03-03T14:10:33,33.6392925,-112.2275846,0,0,68.5,-7.32,3,0,0,1.74,1,-106.5,16446,0,,,,,,,,,,,,,-0.101512238,-0.101512238,,,2,0,2
2017-03-03T14:10:34,33.6392925,-112.2275846,0,0,69,-3.172,3,0,0,1.92,1,-106.5,16446,,,,,,,,,,,,,,-0.126890297,-0.126890297,,,,,
2017-03-03T14:10:35,33.6392925,-112.2275846,0,0,69,0.488,3,0,0,1.34,1,-93,,,,,,,,1,0,,,,,,-0.152268357,-0.152268357,,,2,0,2
2017-03-03T14:10:36,33.6392925,-112.2275846,0,0,,0.976,3,0,0,0.4,1,-88.5,16446,,,,,,,,,,,,,,,,,,,,
2017-03-03T14:10:37,33.6392925,-112.2275846,0,0,69,0.732,3,0,0,0,1,-111,16446,,70,66,,,,,,,,,,,-0.101512238,-0.101512238,,,2,0,2
2017-03-03T14:10:38,33.6392925,-112.2275846,0,0,69,-0.244,3,0.913415653,0,0,1,-180,,,,,,,,,,,,,,,,,,,2,0,2
2017-03-03T14:10:39,33.6392925,-112.2275846,0,0,69,-2.684,3,2.013242663,0,0.02,1,-115.5,16446,,,,,,,,,,,,,,-0.279158654,-0.279158654,,,,,
2017-03-03T14:10:40,33.6392925,-112.227589,0,0,69,-6.832,3,2.106448342,0,0.06,1,-94.5,16446,,,,,,,,,,,,,,-0.025378059,-0.025378059,,,2,0,2
2017-03-03T14:10:41,33.6392904,-112.2275977,0,0,69.5,-18.056,3,1.590710252,0,0.02,1,-40.5,,,,,,,,1,0,,,,,,-0.152268357,-0.152268357,,,2,0,2
2017-03-03T14:10:42,33.6392904,-112.2276085,0,0,69.5,-19.52,3,1.522359421,0,0.02,1,-40.5,16446,,,,,,,,,,,,,,-0.025378059,-0.025378059,,,,,
2017-03-03T14:10:43,33.6392904,-112.227615,0,0,70,-17.08,3,1.404298894,0,0.02,1,-40.5,,0,,,,0,1,,,,,,,,-0.050756119,-0.050756119,,,2,0,2
2017-03-03T14:10:44,33.6392904,-112.2276237,0,0,70,-13.664,3,1.565855404,0,0.04,1,-112.5,16446,,,,,,,,,,,,,,,,,,,,
